Species1,Species3,Match.type
Amazona brasiliensis,Amazona brasiliensis,1BL to 1BT
Amazona collaria,Amazona collaria,1BL to 1BT
Amazona diadema,Amazona autumnalis,Many BL to 1BT
Amazona dufresniana,Amazona dufresniana,1BL to 1BT
Amazona farinosa,Amazona farinosa,Many BL to 1BT
Amazona festiva,Amazona festiva,Many BL to 1BT
Amazona finschi,Amazona finschi,1BL to 1BT
Amazona guatemalae,Amazona farinosa,Many BL to 1BT
Amazona guildingii,Amazona guildingii,1BL to 1BT
Amazona imperialis,Amazona imperialis,1BL to 1BT
Amazona kawalli,Amazona kawalli,1BL to 1BT
Amazona leucocephala,Amazona leucocephala,1BL to 1BT
Amazona lilacina,Amazona autumnalis,Many BL to 1BT
Amazona martinicana,NA ,Extinct
Amazona mercenarius,Amazona mercenaria,1BL to 1BT
Amazona ochrocephala,Amazona ochrocephala,1BL to 1BT
Amazona oratrix,Amazona oratrix,1BL to 1BT
Amazona pretrei,Amazona pretrei,1BL to 1BT
Amazona rhodocorytha,Amazona rhodocorytha,1BL to 1BT
Amazona tucumana,Amazona tucumana,1BL to 1BT
Amazona ventralis,Amazona ventralis,1BL to 1BT
Amazona versicolor,Amazona versicolor,1BL to 1BT
Amazona vinacea,Amazona vinacea,1BL to 1BT
